CPU Free%,MEM Free%,SWAP Free%,TimeOfLog
95.876289,8.626608,47.579777,Tue Dec  7 17:35:47 2021
86.700768,8.634368,47.579777,Tue Dec  7 17:35:48 2021
87.948715,8.649888,47.579777,Tue Dec  7 17:35:49 2021
90.837700,8.654464,47.579777,Tue Dec  7 17:35:50 2021
88.520409,8.651579,47.579777,Tue Dec  7 17:35:51 2021
85.937500,8.638844,47.579777,Tue Dec  7 17:35:52 2021
93.455498,8.632676,47.579777,Tue Dec  7 17:35:53 2021
86.802032,8.637650,47.579777,Tue Dec  7 17:35:54 2021
88.431877,8.626608,47.579777,Tue Dec  7 17:35:55 2021
92.525772,8.631383,47.579777,Tue Dec  7 17:35:56 2021
88.010201,8.662522,47.579777,Tue Dec  7 17:35:57 2021
89.487175,8.638844,47.579777,Tue Dec  7 17:35:58 2021
89.790573,8.636756,47.579777,Tue Dec  7 17:35:59 2021
85.750633,8.640536,47.579777,Tue Dec  7 17:36:00 2021
91.752579,8.632975,47.579777,Tue Dec  7 17:36:01 2021
85.974030,8.635859,47.579777,Tue Dec  7 17:36:02 2021
92.727272,8.635163,47.579777,Tue Dec  7 17:36:03 2021
90.512817,8.631582,47.579777,Tue Dec  7 17:36:04 2021
87.723785,8.616361,47.579777,Tue Dec  7 17:36:05 2021
91.603050,8.613575,47.579777,Tue Dec  7 17:36:06 2021
88.743454,8.613176,47.579777,Tue Dec  7 17:36:07 2021
88.860107,8.624319,47.579777,Tue Dec  7 17:36:08 2021
91.794876,8.624517,47.579777,Tue Dec  7 17:36:09 2021
88.281250,8.622827,47.579777,Tue Dec  7 17:36:10 2021
90.355331,8.649590,47.579777,Tue Dec  7 17:36:11 2021
90.649345,8.614072,47.579777,Tue Dec  7 17:36:12 2021
86.445015,8.607804,47.579777,Tue Dec  7 17:36:13 2021
93.979057,8.620339,47.579777,Tue Dec  7 17:36:14 2021
93.029495,8.607804,47.579777,Tue Dec  7 17:36:15 2021
88.421051,8.609595,47.579777,Tue Dec  7 17:36:16 2021
90.585243,8.602432,47.579777,Tue Dec  7 17:36:17 2021
83.290489,8.602432,47.579777,Tue Dec  7 17:36:18 2021
